FID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,DECADE,SIZE_HA,CAUSE,PROTZONE,FIRE_TYPE,MORE_INFO,CFS_REF_ID,CFS_NOTE1,CFS_NOTE2,ACQ_DATE,SRC_AGY2,ECOZONE,ECOZ_REF,ECOZ_NAME,ECOZ_NOM
65,BC,1950-G00081, ,55.759999999999998,-123.626000000000000,1950,7,4,1950-07-04 00:00:00,,,1950-1959,1294.900000000000100,L, ,Fire, ,BC-1950-1950-G00081, , ,2020-05-05 00:00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
66,BC,1953-G00042, ,56.289000000000001,-124.017000000000000,1953,5,20,1953-05-20 00:00:00,,,1950-1959,404.600000000000020,H, ,Fire, ,BC-1953-1953-G00042, , ,2020-05-05 00:00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
67,BC,1950-G00154, ,55.991999999999997,-122.126000000000000,1950,9,21,1950-09-21 00:00:00,,,1950-1959,1.200000000000000,H, ,Fire, ,BC-1950-1950-G00154, , ,2020-05-05 00:00:00,BC,14,14,Montane Cordillera,Cordill re montagnarde
68,BC,1950-G00080, ,55.991999999999997,-121.126000000000000,1950,6,29,1950-06-29 00:00:00,,,1950-1959,242.800000000000010,L, ,Fire, ,BC-1950-1950-G00080, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
69,BC,1950-G00145, ,55.655000000000001,-120.980000000000000,1950,9,19,1950-09-19 00:00:00,,,1950-1959,80.900000000000006,H, ,Fire, ,BC-1950-1950-G00145, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
70,BC,1950-G00146, ,55.817999999999998,-120.626000000000000,1950,9,20,1950-09-20 00:00:00,,,1950-1959,2929.900000000000100,H, ,Fire, ,BC-1950-1950-G00146, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
71,BC,1950-G00147, ,56.039000000000001,-120.624000000000000,1950,9,20,1950-09-20 00:00:00,,,1950-1959,560.399999999999980,H, ,Fire, ,BC-1950-1950-G00147, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
72,BC,1950-G00149, ,55.991999999999997,-121.126000000000000,1950,9,17,1950-09-17 00:00:00,,,1950-1959,36.399999999999999,H, ,Fire, ,BC-1950-1950-G00149, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
73,BC,1950-G00150, ,55.991999999999997,-120.428000000000000,1950,9,20,1950-09-20 00:00:00,,,1950-1959,48.500000000000000,H, ,Fire, ,BC-1950-1950-G00150, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
74,BC,1950-G00151, ,55.963000000000001,-120.730000000000000,1950,9,20,1950-09-20 00:00:00,,,1950-1959,23067.099999999999000,H, ,Fire, ,BC-1950-1950-G00151, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
75,BC,1950-G00152, ,56.067999999999998,-120.480000000000000,1950,9,20,1950-09-20 00:00:00,,,1950-1959,3366.900000000000100,H, ,Fire, ,BC-1950-1950-G00152, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
76,BC,1950-G00153, ,56.317999999999998,-120.730000000000000,1950,9,22,1950-09-22 00:00:00,,,1950-1959,1968.300000000000000,H, ,Fire, ,BC-1950-1950-G00153, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
77,BC,1950-G00155, ,56.433999999999997,-120.480000000000000,1950,9,21,1950-09-21 00:00:00,,,1950-1959,7510.899999999999600,H, ,Fire, ,BC-1950-1950-G00155, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
78,BC,1950-G00008, ,55.655000000000001,-121.678000000000000,1950,5,9,1950-05-09 00:00:00,,,1950-1959,643.399999999999980,H, ,Fire, ,BC-1950-1950-G00008, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
79,BC,1950-G00017, ,55.655000000000001,-120.980000000000000,1950,6,1,1950-06-01 00:00:00,,,1950-1959,647.399999999999980,H, ,Fire, ,BC-1950-1950-G00017, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
80,BC,1950-G00020, ,55.933999999999997,-121.376000000000000,1950,6,2,1950-06-02 00:00:00,,,1950-1959,2428.099999999999900,H, ,Fire, ,BC-1950-1950-G00020, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
81,BC,1950-G00021, ,55.875999999999998,-121.428000000000000,1950,6,2,1950-06-02 00:00:00,,,1950-1959,161.800000000000010,H, ,Fire, ,BC-1950-1950-G00021, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
82,BC,1950-G00032, ,55.905000000000001,-120.678000000000000,1950,6,11,1950-06-11 00:00:00,,,1950-1959,101.099999999999990,H, ,Fire, ,BC-1950-1950-G00032, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
83,BC,1950-G00050, ,55.991999999999997,-120.376000000000000,1950,6,19,1950-06-19 00:00:00,,,1950-1959,323.699999999999990,H, ,Fire, ,BC-1950-1950-G00050, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
84,BC,1951-G00022, ,55.991999999999997,-121.928000000000000,1951,5,20,1951-05-20 00:00:00,,,1950-1959,97.099999999999994,H, ,Fire, ,BC-1951-1951-G00022, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
85,BC,1952-G00005, ,55.713000000000001,-121.178000000000000,1952,5,1,1952-05-01 00:00:00,,,1950-1959,101.099999999999990,H, ,Fire, ,BC-1952-1952-G00005, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
86,BC,1952-G00008, ,55.713000000000001,-120.825000000000000,1952,5,2,1952-05-02 00:00:00,,,1950-1959,42.399999999999999,H, ,Fire, ,BC-1952-1952-G00008, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
87,BC,1952-G00010, ,55.817999999999998,-121.428000000000000,1952,4,29,1952-04-29 00:00:00,,,1950-1959,449.199999999999990,H, ,Fire, ,BC-1952-1952-G00010, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
88,BC,1952-G00018, ,55.905000000000001,-121.928000000000000,1952,5,6,1952-05-06 00:00:00,,,1950-1959,178.000000000000000,H, ,Fire, ,BC-1952-1952-G00018, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
89,BC,1952-G00019, ,55.741999999999997,-121.575000000000000,1952,5,8,1952-05-08 00:00:00,,,1950-1959,874.100000000000020,H, ,Fire, ,BC-1952-1952-G00019, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
90,BC,1952-G00026, ,55.713000000000001,-121.178000000000000,1952,5,9,1952-05-09 00:00:00,,,1950-1959,76.799999999999997,H, ,Fire, ,BC-1952-1952-G00026, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
91,BC,1952-G00037, ,55.759999999999998,-121.023000000000000,1952,5,9,1952-05-09 00:00:00,,,1950-1959,80.900000000000006,H, ,Fire, ,BC-1952-1952-G00037, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
92,BC,1952-G00054, ,55.759999999999998,-121.376000000000000,1952,5,14,1952-05-14 00:00:00,,,1950-1959,53.799999999999997,H, ,Fire, ,BC-1952-1952-G00054, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
93,BC,1952-G00057, ,55.741999999999997,-121.626000000000000,1952,5,13,1952-05-13 00:00:00,,,1950-1959,47.700000000000003,H, ,Fire, ,BC-1952-1952-G00057, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
94,BC,1952-G00058, ,55.713000000000001,-121.230000000000000,1952,5,15,1952-05-15 00:00:00,,,1950-1959,55.399999999999999,H, ,Fire, ,BC-1952-1952-G00058, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
95,BC,1952-G00075, ,55.963000000000001,-120.678000000000000,1952,5,25,1952-05-25 00:00:00,,,1950-1959,0.100000000000000,H, ,Fire, ,BC-1952-1952-G00075, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
96,BC,1952-G00082, ,56.259999999999998,-120.017000000000000,1952,5,23,1952-05-23 00:00:00,,,1950-1959,781.000000000000000,H, ,Fire, ,BC-1952-1952-G00082, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
97,BC,1952-G00083, ,55.905000000000001,-120.876000000000000,1952,5,27,1952-05-27 00:00:00,,,1950-1959,54.600000000000001,H, ,Fire, ,BC-1952-1952-G00083, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
98,BC,1952-G00084, ,55.905000000000001,-121.273000000000000,1952,5,25,1952-05-25 00:00:00,,,1950-1959,550.299999999999950,H, ,Fire, ,BC-1952-1952-G00084, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
99,BC,1952-G00220, ,55.713000000000001,-120.980000000000000,1952,10,15,1952-10-15 00:00:00,,,1950-1959,1.200000000000000,H, ,Fire, ,BC-1952-1952-G00220, , ,2020-05-05 00:00:00,BC,9,9,Boreal PLain,Plaines bornales
