x,y,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_YEAR,LOCAL_DATE,MIN_REL_HUMIDITY,TOTAL_SNOW,STATION_NAME,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,MEAN_TEMPERATURE,LOCAL_DAY,SPEED_MAX_GUST,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS_FLAG,MIN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,TOTAL_SNOW_FLAG,COOLING_DEGREE_DAYS,SNOW_ON_GROUND,LOCAL_MONTH,SPEED_MAX_GUST_FLAG
-80.41666666666667,43.65,,2.1,2016,2016-06-29 00:00:00,,,ELORA RCS,6142286.2016.6.29,,,23.7,15.9,29,37,8.1,6142286,,,,,,1,M,1.7,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,1.6,2016,2016-06-30 00:00:00,,,ELORA RCS,6142286.2016.6.30,,,26.4,16.4,30,0,6.3,6142286,,,,,,0,M,1,,,ON,,,M,0,,6,
-80.41666666666667,43.65,,3.2,2016,2016-07-01 00:00:00,,,ELORA RCS,6142286.2016.7.1,,,20.3,14.8,1,52,9.2,6142286,,,,,,30,M,4.7,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,3.3,2016,2016-07-02 00:00:00,,,ELORA RCS,6142286.2016.7.2,,,22.6,14.7,2,41,6.7,6142286,,,,,,29,M,0,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0.9,2016,2016-07-03 00:00:00,,,ELORA RCS,6142286.2016.7.3,,,25.3,17.1,3,0,8.8,6142286,,,,,,0,M,0,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0.5,2016,2016-07-04 00:00:00,,,ELORA RCS,6142286.2016.7.4,,,27.2,17.5,4,32,7.8,6142286,,,,,,15,M,1,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0,2016,2016-07-05 00:00:00,,,ELORA RCS,6142286.2016.7.5,,,28.5,20.5,5,43,12.5,6142286,,,,,,29,M,1.1,,,ON,,,M,2.5,,7,
-80.41666666666667,43.65,,0,2016,2016-07-06 00:00:00,,,ELORA RCS,6142286.2016.7.6,,,29.9,21.7,6,32,13.5,6142286,,,,,,24,M,1.1,,,ON,,,M,3.7,,7,
-80.41666666666667,43.65,,0,2016,2016-07-07 00:00:00,,,ELORA RCS,6142286.2016.7.7,,,30.3,23.7,7,0,17,6142286,,,,,,0,M,0.9,,,ON,,,M,5.7,,7,
-80.41666666666667,43.65,,0,2016,2016-07-08 00:00:00,,,ELORA RCS,6142286.2016.7.8,,,28.9,22.8,8,37,16.6,6142286,,,,,,20,M,2.2,,,ON,,,M,4.8,,7,
-80.41666666666667,43.65,,0,2016,2016-07-09 00:00:00,,,ELORA RCS,6142286.2016.7.9,,,22.1,18.7,9,41,15.3,6142286,,,,,,28,M,4.3,,,ON,,,M,0.7,,7,
-80.41666666666667,43.65,,0,2016,2016-07-10 00:00:00,,,ELORA RCS,6142286.2016.7.10,,,26.7,19.8,10,0,12.8,6142286,,,,,,0,M,0.7,,,ON,,,M,1.8,,7,
-80.41666666666667,43.65,,0,2016,2016-07-11 00:00:00,,,ELORA RCS,6142286.2016.7.11,,,27,19.6,11,0,12.1,6142286,,,,,,0,M,0,,,ON,,,M,1.6,,7,
-80.41666666666667,43.65,,0,2016,2016-07-12 00:00:00,,,ELORA RCS,6142286.2016.7.12,,,31.1,23.5,12,41,15.8,6142286,,,,,,19,M,0,,,ON,,,M,5.5,,7,
-80.41666666666667,43.65,,0,2016,2016-07-13 00:00:00,,,ELORA RCS,6142286.2016.7.13,,,31.7,25.7,13,54,19.6,6142286,,,,,,25,M,8.1,,,ON,,,M,7.7,,7,
-80.41666666666667,43.65,,0,2016,2016-07-14 00:00:00,,,ELORA RCS,6142286.2016.7.14,,,27.4,22.3,14,48,17.1,6142286,,,,,,26,M,16.2,,,ON,,,M,4.3,,7,
-80.41666666666667,43.65,,0.4,2016,2016-07-15 00:00:00,,,ELORA RCS,6142286.2016.7.15,,,22.2,17.6,15,50,12.9,6142286,,,,,,28,M,4.2,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,1.8,2016,2016-07-16 00:00:00,,,ELORA RCS,6142286.2016.7.16,,,22.4,16.2,16,0,9.9,6142286,,,,,,0,M,0,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,1.8,2016,2016-07-17 00:00:00,,,ELORA RCS,6142286.2016.7.17,,,24.7,16.2,17,43,7.6,6142286,,,,,,20,M,2.7,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0,2016,2016-07-18 00:00:00,,,ELORA RCS,6142286.2016.7.18,,,25.8,19.2,18,48,12.5,6142286,,,,,,31,M,3,,,ON,,,M,1.2,,7,
-80.41666666666667,43.65,,1.7,2016,2016-07-19 00:00:00,,,ELORA RCS,6142286.2016.7.19,,,23.9,16.3,19,41,8.7,6142286,,,,,,32,M,1.3,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0.9,2016,2016-07-20 00:00:00,,,ELORA RCS,6142286.2016.7.20,,,26.6,17.1,20,0,7.5,6142286,,,,,,0,M,1.7,,,ON,,,M,0,,7,
-80.41666666666667,43.65,,0,2016,2016-07-21 00:00:00,,,ELORA RCS,6142286.2016.7.21,,,30.5,21.4,21,41,12.3,6142286,,,,,,22,M,1.4,,,ON,,,M,3.4,,7,
-80.41666666666667,43.65,,0,2016,2016-07-22 00:00:00,,,ELORA RCS,6142286.2016.7.22,,,31,23.2,22,41,15.3,6142286,,,,,,26,M,2.9,,,ON,,,M,5.2,,7,
-80.41666666666667,43.65,,0,2016,2016-07-23 00:00:00,,,ELORA RCS,6142286.2016.7.23,,,30.8,23,23,37,15.2,6142286,,,,,,28,M,2.1,,,ON,,,M,5,,7,
